108,25503,25503,MARCO ANDRE BRUXEL,M,BRA,[ASPIRANTE] OZONE MANTRA M7 - CINZA,Woody Valley XR7,MARCO BRUXEL,FGVL,370,400,617,0,96,333,670,31,0,0,0,2517
109,43010,43010,LEANDRO SALLES,M,BRA,[ASPIRANTE] NIVIUK ARTIK 5 - VERDE PREDOMINANTE E PRETO,Gin Genie Race 4,TRIP2FLY,FPVL,116,94,541,22/44,635,0,736,76,0,10,281,2511
110,12752,12752,FILIPE MARQUES,M,BRA,[PRO] GIN BOOMERANG 12 - VERDE,Kortel Kanibal Race 2,SKYWALK E SUPAIR ESPIRITO SANTO,FCVL,0,0,0,0,0,0,0,645,850,34,896,2425
111,10029,10029,SÉRGIO HENRIQUE SAMPAIO,M,BRA,[PRO] OZONE ENZO 3 - PURPLE / GREEN,Gin Genie Race 4,,FPVL,0,0,0,0,0,0,0,680,948,14,530,2172
112,3031,3031,MAURO ALESSANDRO DA SILVEIRA ARRUDA,M,BRA,[PRO] OZONE ENZO 3 - AZUL / PRETO,Woody Valley XR7,ELETRO TERRA ENGENHARIA DE AUTOMAÇÃO,FMVL,0,0,0,0,0,0,0,927,238,11,964,2140
113,3024,3024,CARLOS BONIFACIO,M,BRA,[PRO] OZONE - ENZO 3 - AZUL,Ozone Exoceat,FAZENDINHA NIGHT CLUB | PREF DE HORTOLANDIA,FPVL SP,379,257,469,46,90,0,776,0,0,0,0,2017
114,14674,14674,EDSON ZARDO,M,BRA,[PRO] NIVIUK X-ONE - PRETO VERDE,Sol CXMAX,,FSMGVL,717,424,672,44,0,30,27,31,0,0,0,1945
115,28700,28700,JAIR ROBERTO SCUSSIATO,M,BRA,[ASPIRANTE] OZONE - DELTA 4 - VERMELHO E AZUL,Gin Genie Race 4,,FGVL,251,448,782,0,327,0,0,31,0,0,0,1839
116,2417,2417,RONALDO DE SOUZA CARPINSKI,M,BRA,[PRO] UP - GURU L - VERMELHO AZUL E BRANCO,Gin Genie Race 4,,FVLP PR,465,405,91,99,129,40,585,0,0,0,0,1814
117,13912,13912,ALEX VAN DER PUT,M,BRA,[PRO] OZONE ENZO 3 - AMARELO VERMELH,Ozone Exoceat,,FMVL,0,0,0,0,0,0,0,31,823,8,933,1795
118,20171,20171,GABRIEL CHIANELLI COSTALONGA SERAPHIM,M,BRA,[PRO] FLOW SPECTRA 2 - VERMELHO AZUL,Woody Valley XR7,,FGVL,0,0,0,0,0,0,0,31,866,11,876,1784
119,12414,12414,TONY CESAR MENDES NEGREIROS,M,BRA,[PRO] NIVIUK X-ONE - LARANJA,Gin Genie Race 4,,FMVL,0,0,0,0,0,0,0,31,658,11,934,1634
120,49711,49711,MICHEL LACERDA CARMO,M,BRA,[ASPIRANTE] FLOW XCRACER - BRANCO LARANJA,,,FCVL,310,162,436,77,139,27/56,385,31,22,13,79,1628
121,37137,37137,LORRAN BUENO DE CAMPOS FIGUEIREDO,M,BRA,[PRO] OZONE ENZO 3 - AZUL E ROXO,Sol CXC PRO,ILHA ECO ADVENTURE,FPVL,0,0,0,0,0,0,0,487,101,0,963,1551
122,4714,4714,MARCELO SILVA E MELO,M,BRA,[PRO] OZONE ENZO 3 - AMARELO PINK,Woody Valley XR7,YOUR NAME HERE,FVLERJ,0,0,0,0,0,0,0,53,294,13,946,1306
123,27455,27455,SENDERSON LAURIDO,M,BRA,[PRO] FLOW SPECTRA 2 - VERMELHO,,🌪.DUST PROPELLER,FVLP,0,0,0,0,0,0,0,359,719,13,161,1252
124,15057,15057,JUAN ALEX TESTONI JUNIOR,M,BRA,[PRO] FLOW SPECTRA 2 - LARANJA,Ozone Exoceat,,FERN,0,0,0,0,0,0,0,31,632,19,486,1168
125,55841,55841,BRENO QUEIROZ FUNCHAL,M,BRA,[PRO] GIN BOOMERANG 12 - AZUL CINZA,Ozone Exoceat,,FMVL,0,0,0,0,0,0,0,408,745,0,0,1153
126,72751,72751,PHIL HAEGLER,M,BRA,[ASPIRANTE] UP MERU -,Advance Lightness,,FVLERJ,250,289,610,0,0,0,0,0,0,0,0,1149
127,35115,35115,JANIR LUIZ SCHAAB,M,BRA,[ASPIRANTE] OZONE ZENO - AZUL VERMELHO,Sol CXC PRO,EU MEMO,FGVL,0,0,0,0,0,0,0,31,79,0,859,969
128,40372,40372,IVAN CARLOS DE SANTANA,M,BRA,[ASPIRANTE] OZONE ZENO - VERDE LIMãO/ ROXO,Woody Valley XR7,,FVLP,0,0,0,0,0,0,0,366,22,13,500,901
129,418,418,MARCELO PRIETO,M,BRA,[PRO] OZONE ENZO 3 - AZUL,Sol CXMAX,SOL PARAGLIDERS / VENTO SUL,FGVL,0,0,0,0,0,0,0,57,834,0,0,891
130,38876,38876,WALBER DOS SANTOS COSTA,M,BRA,"[ASPIRANTE] GIN BONANZA 2 - VERDE, VERMELHO E BRANCO",Nearbirds Genesis Race,ELEVAENGE ELEVADORES,FMGVL,25,304,73,44,366,0,0,0,0,0,0,812
131,29139,29139,EDSON BITTAR DE SOUZA,M,BRA,[ASPIRANTE] SKYWALK - CHILI 4 - VERDE E BRANCO,Gin Genie Race 2,NENHUM,FVLP,84,70,229,44,91,12/24,50,31,22,8,19,619
132,2427,2427,LUCIANO BENDER TCACENCO,M,BRA,[PRO] GIN BOOMERANG 12 - AMARELO,Gin Genie Race 4,GIN BRASIL | ORANIQUE | AIRBOYSTEAM,FGVL,0,0,0,0,0,0,0,589,0,8,0,597
133,68189,68189,CICERO RIBEIRO DE CASTRO NETO,M,BRA,[ASPIRANTE] FLOW XCRACER - AZUL,,CPVL TEAM,FPVL,0,0,0,0,0,0,0,324,22,8,152,506
134,48880,48880,LEANDRO PRADO CRUZ,M,BRA,[ASPIRANTE] FLOW PARAGLIDERS - XCRACER - ORANGE,Nearbirds Genesis Race,,FVLERJ RJ,185,60,0,0,0,0,0,0,0,0,0,245
135,28744,28744,ANTONINHO CHINALI,M,BRA,[ASPIRANTE] OZONE ZENO 2 - VERMELHO,Woody Valley XR7,,FGVL,0,0,0,0,0,0,0,31,22,0,141,194
136,38481,38481,VAGNER PILAR DA COSTA,M,BRA,[ASPIRANTE] OZONE ZENO - AZUL/PRETO,,,FGVL,0,0,0,0,0,0,0,0,0,0,0,0
